"","name", "dam", "sire", "sex", "year"
"1593","Antoc Dragon Prince From Shepherdwyn","Antoc Audacity","Antoc Guardian Angel"," Male", 1996 
"1594","Antoc Firegem of Badimara","Lees Jet","Kentwood Elwyn"," Female", 1986 
"1595","Antoc Gabriel of Grangefield","Antoc Angel Delight","Baileswood Geraint"," Male", 1990 
"1596","Antoc Gaynor","Antoc Angel Delight","Baileswood Geraint"," Female", 1990 
"1597","Antoc Gregory","Antoc Angel Delight","Baileswood Geraint"," Male", 1990 
"1598","Antoc Guardian Angel","Antoc Angel Delight","Ringinglow Troyson of Gorthleck"," Male", 1994 
"1599","Antoc Kinda Smart","Antoc Dedication","Cardhew Superted JW"," Female", 2000 
"1600","Antoc Klever Klogs","Antoc Dedication","Cardhew Superted JW"," Male", 2000 
"1601","Antoc Marcasita","Antoc Cinnabar","Cardwyn Merywen"," Female", 1985 
"1602","Antoc Mayfair Of Baileswood","Antoc Gaynor","Kentwood Garth"," Female", 1995 
"1603","Antoc Meadow Brown","Antoc Cinnabar","Antoc Upper Crust"," Male", 1987 
"1604","Antoc Mercury","Antoc Cinnabar","Cardwyn Merywen"," Male", 1985 
"1605","Antoc Moonstone","Antoc Cinnabar","Cardwyn Merywen"," Female", 1985 
"1606","Antoc Surprise Surprise","Antoc Gaynor","Salvenik Summer Sunset"," Female", 1993 
"1607","Antoc Tiger's Eye","Antoc Cinnabar","Cardwyn Merywen"," Male", 1985 
"1608","Antoc Upper Crust","Lees Jet","Jezalin Top Brass"," Male", 1984 
"1609","Anton Kroos von Welterod","Welshclan's Dilwyn Dacey","Carddicted Earl Grey"," Male", 2014 
"1610","Anton of Maurilyn","Sweet Ja-Rae of Kimchella","Dark Dandy of Kolguer"," Male", 1971 
"1611","Anton vom Forster Nei�eland","Fest Gina Prima Aprilis","Johann vom B�kerhook"," Male", 2009 
"1612","Antonio El Corgi Amoroso","April de Tichelaar corgi","Verdidas Gillis To Immes"," Male", 2012 
"1613","Anu Shining Sirius","Fest Delicja","Damian Corlan Gi"," Female", 2010 
"1614","Anwylyn Blodeuyn ap Snowden","Pfaller's Tactfull Toto","Wee Geordie"," Female", 
"1615","Anzac","Tasakin Doris Day","Mackinlay's Lefi"," Male", 1995 
"1616","Apache of Ivanmour","Golden Fluer of Medway","Tuahine Merribetson"," Male", 1975 
"1617","Apdyll Partner's Foxylady","Topwyn Bathwyn Esther's Song","Topwyn's Nothin Better ROMb"," Female", 1981 
"1618","Apollinaris Caitlin","Robgwen Solitaire","Robgwen Welsh Minstrel"," Female", 1971 
"1619","Apollinaris Carmen","Robgwen Solitaire","Parmel Digger"," Female", 1970 
"1620","Apollinaris Carol","Robgwen Solitaire","Southpark Gerwyn"," Female", 1968 
"1621","Apollinaris Casanova","Apollinaris Caitlin","Robgwen Gregson"," Male", 1977 
"1622","Apollinaris Catkin","Apollinaris Caitlin","Sirax Gregory"," Female", 1976 
"1623","Apollinaris Ceinwen","Apollinaris Carmen","Sirax Gregory"," Female", 1973 
"1624","Apollinaris Cenydd","Robgwen Solitaire","Robgwen Welsh Minstrel"," Male", 1971 
"1625","Apollinaris Claudius","Apollinaris Caitlin","Robgwen Gregson"," Male", 1977 
"1626","Apollinaris Columbine","Robgwen Solitaire","Robgwen Welsh Minstrel"," Female", 1971 
"1627","Apollinaris Coppelia","Robgwen Solitaire","Robgwen Welsh Minstrel"," Female", 
"1628","Apollo","Cesrose Lisbeth","First Flock v.d. Veulen Hof"," Male", 1991 
"1629","APOLLO Rajska Kraina (FCI)","KURKUMA z Domu Polanki (FCI)","EL DORADO Gaucho"," Male", 2017 
"1630","Apollo vom Forster Nei�eland","Fest Gina Prima Aprilis","Johann vom B�kerhook"," Male", 2009 
"1631","Apollon","Verdidas Aberdeen","Deavitte Oakleaf"," Male", 1997 
"1632","Apollon Tailorscardi","Beautiful Dream Kasmir Moravia","Hashfan Villfred"," Male", 2017 
"1633","Apolo of Ivanmour","Golden Fluer of Medway","Tuahine Merribetson"," Male", 1975 
"1634","Apologize","Cesrose Lisbeth","First Flock v.d. Veulen Hof"," Male", 1991 
"1635","Appalause","Cesrose Lisbeth","First Flock v.d. Veulen Hof"," Male", 1991 
"1636","Appalopagus of Llewellyn","Mclea's Celine Stardom","Samford's Super Nova"," Male", 2013 
"1637","Appila Daniel","Telteg Awl Glamour","Leamore Chichester"," Male", 
"1638","Appila Elroy","Telteg Awl Glamour","Dilwel Syr Alec"," Female", 1974 
"1639","Appila Emma","Telteg Awl Glamour","Dilwel Syr Alec"," Female", 1974 
"1640","Appila Happy Boy","Appila Emma","Cambrian Just For Luck of Medea"," Male", 1980 
"1641","Appila Herald","Appila Emma","Cambrian Just For Luck of Medea"," Male", 1980 
"1642","Appila Holly","Appila Emma","Cambrian Just For Luck of Medea"," Female", 1980 
"1643","Appila Lone Traveller","Telteg Awl Glamour","Dilwel Syr Alec"," Female", 1974 
"1644","Appila Rabina","Telteg Awl Glamour","Dilwel Syr Alec"," Female", 1974 
"1645","Applause Virgo Vestalis","Arena Z Ticheho Udoli","Bertram Corlan Gi"," Male", 2009 
"1646","Apple","Tasakin Doris Day","Mackinlay's Lefi"," Female", 1995 
"1647","Appleridge's Bold Mr Big","Appleridge's Chocolate Chip","Robinhoods Cold Hard Cash"," Male", 
"1648","Appleridge's Chocolate Chip","Rayvnwood's Naughty Nadine PT","Finnshavn's Alexander Selkirk"," Female", 1994 
"1649","Applewater Madelyn Rose","",""," Female", 2005 
"1650","April de Tichelaar corgi","Alana from the Stone of Scone","Courtly's Brindle Lord Vaka Bangsi"," Female", 2010 
"1651","April Lady of Willowbeach","Red Rowan of Willowbeach","Southpark Gerwyn"," Female", 
"1652","Aprills Royal Sissy Angel Wings","One Hot Baretta","FF-N-RR Pulham's Rebel"," Female", 2017 
"1653","Apriori Vip  Uniquely Success","Ingermanlandija Scarlett","Zefyras Gyvates Asara"," Male", 2015 
"1654","Apriori Vip Art Deco","Daisy Virgo Vestalis","Zhacardi Vargar"," Male", 2017 
"1655","Apriori Vip Avalanche","Daisy Virgo Vestalis","Zhacardi Vargar"," Female", 2017 
"1656","Apriori Vip Bingo Bongo","Ingermanlandija Scarlett","Aethwy Blueberry Hill"," Male", 2017 
"1657","Apriori Vip Blue Bird Of Happiness","Ingermanlandija Scarlett","Aethwy Blueberry Hill"," Female", 2017 
"1658","APRIORI VIP BRITISH SPAY","Ingermanlandija Scarlett","Aethwy Blueberry Hill"," Male", 2017 
"1659","Apriori Vip Dolce Vita","Daisy Virgo Vestalis","Shepados Hercule Poirot"," Female", 2017 
"1660","Apriori Vip Donna Rosa","Daisy Virgo Vestalis","Shepados Hercule Poirot"," Female", 2017 
"1661","Apriori Vip Dreamcatcher","Daisy Virgo Vestalis","Shepados Hercule Poirot"," Male", 2017 
"1662","Apriori Vip Jacaránda","Ingermanlandija Scarlett","Elfborg Fiji"," Female", 2018 
"1663","Apriori Vip Rara Avis","Daisy Virgo Vestalis","Hova Bonde's Eric Delco"," Female", 2014 
"1664","Apriori Vip Raven","Daisy Virgo Vestalis","Hova Bonde's Eric Delco"," Male", 2014 
"1665","Apriori Vip Real Lady","Daisy Virgo Vestalis","Hova Bonde's Eric Delco"," Female", 2014 
"1666","Apriori Vip Royal Luxsory","Daisy Virgo Vestalis","Hova Bonde's Eric Delco"," Female", 2014 
"1667","Apriori Vip Shadow With No Light","Ingermanlandija Scarlett","Zefyras Gyvates Asara"," Female", 2016 
"1668","Apriori Vip She Loves Me","Ingermanlandija Scarlett","Zefyras Gyvates Asara"," Female", 2016 
"1669","Apriori Vip Shimmer Of Sunset","Ingermanlandija Scarlett","Zefyras Gyvates Asara"," Male", 2016 
"1670","APRIORI VIP ULTRAVIOLET","Ingermanlandija Scarlett","Zefyras Gyvates Asara"," Female", 2015 
"1671","Apriori Vip Un Azzurro","Ingermanlandija Scarlett","Zefyras Gyvates Asara"," Male", 2015 
"1672","Apriori Vip Uno Di Tutti","Ingermanlandija Scarlett","Zefyras Gyvates Asara"," Female", 2015 
"1673","Apriori Vip Wisard","Ingermanlandija Scarlett","Zefyras Gyvates Asara"," Male", 2015 
"1674","Apriori Vip Wistaria","Ingermanlandija Scarlett","Zefyras Gyvates Asara"," Female", 2015 
"1675","APRIORIVIP ROYAL LUXSORY","Daisy Virgo Vestalis","Hova Bonde's Eric Delco"," Female", 
"1676","Apulejo di Poggiobellino","Yardican Ultra Unique at Poggiobellino","Aequam Celso"," Male", 2006 
"1677","Arabella","Athena","Hova Bonde's Ace Ventura"," Female", 2012 
"1678","ARABELLA Zlote Psiaki FCI","CYRANKA Virgo Vestalis","Cool Adventure z Domu Polanki (FCI)"," Female", 2016 
"1679","Arablue di Castel Martini","Beckrow Barsheba","Rozavel Blue Scene"," Female", 1975 
"1680","Aragon's Blue Horizon","Aragorn's Enchanted Crystal","Aragorn Gwindor Of Dreahook AM CD"," Male", 1992 
"1681","Aragons Lady Blue Of Locksly","Bearwoods Whistlin Dixie","Sisterwood Blackstar Molasses"," Female", 1995 
"1682","Aragorn","All Trade Chorizo","All Trade Fire Engine"," Male", 2003 
"1683","Aragorn Amanda","Aragorn Appraxin Silver Fox","Aragorn's Original Recipe AM CD ROMs"," Female", 1987 
"1684","Aragorn Appraxin Blue Merlyn ROMb","Aragorn Appraxin Silver Fox","Aragorn's Sarum Blue Bishop AM CD ROMb"," Male", 1983 
"1685","Aragorn Appraxin Silver Fox","Aragorn's Out of the Blue AM CD","Foxfire Black Domino"," Female", 1980 
"1686","Aragorn Arwen Evenstar","Aragorn's Aristocratic Lady","Foxfire Black Domino"," Female", 1979 
"1687","Aragorn Barr's Six Pack","Aragorn's Oklahoma Blue Elf AM CD ROMs","Sandon Little Big Man Aragorn AM CD ROMb"," Male", 1986 
"1688","Aragorn Black Magic Seymour","Aragorn's Black Magic Lynx AM CDX","Aragorn Appraxin Blue Merlyn ROMb"," Male", 1987 
"1689","Aragorn Black Magic Starfire CDX","Aragorn's Oklahoma Blue Elf AM CD ROMs","Aragorn Lord of the Rings AM UD"," Female", 1982 
"1690","Aragorn Blue Dawn Of Kylewyn","Aragorn's Oklahoma Blue Elf AM CD ROMs","Swansea Black Jack"," Female", 1978 
"1691","Aragorn Cavalier","Aragorn's Triumphant Return","Aragorn Appraxin Blue Merlyn ROMb"," Male", 1988 
"1692","Aragorn Chelsea Too CD","Aragorn Appraxin Silver Fox","Aragorn's Original Recipe AM CD ROMs"," Female", 1987 
"1693","Aragorn Dawns Silverfoxmist","Aragorn Appraxin Silver Fox","Aragorn's Original Recipe AM CD ROMs"," Female", 1987 
"1694","Aragorn Gwindor Of Dreahook AM CD","Cymreig DC Current Asset","Aragorn Appraxin Blue Merlyn ROMb"," Male", 1988 
"1695","Aragorn Jovone's The Mikado","Aragorn's Blue Ingenue","Aragorn's Original Recipe AM CD ROMs"," Female", 1985 
"1696","Aragorn Katherine Kismet AM CD ROMb","Aragorn's Silver Streak","Aragorn Lord of the Rings AM UD"," Female", 1983 
"1697","Aragorn Legacy's Code Blue","Aragorn's Silver Sequel","Aragorn's Lord Alden"," Male", 2000 
"1698","Aragorn Llanbryn","Trailwyn Llanbryn Galadriel HT ROMb","Thistledown's Master Merfyn"," Male", 1993 
"1699","Aragorn Lord of the Rings AM UD","Aragorn's Out of the Blue AM CD","Foxfire Black Domino"," Male", 1980 
"1700","Aragorn Lovely Lady","Aragorn's Oklahoma Blue Elf AM CD ROMs","Sandon Little Big Man Aragorn AM CD ROMb"," Female", 1981 
"1701","Aragorn Mandy","Aragorn Amanda","Aragorn Appraxin Blue Merlyn ROMb"," Female", 1991 
"1702","Aragorn Merry Monroe Of Barr","Aragorns Triumph Of Foxfyre","Aragorn's Sarum Blue Bishop AM CD ROMb"," Female", 1983 
"1703","Aragorn Mighty Quinn Medley","Aragorn's Enchanted Crystal","Aragorn Gwindor Of Dreahook AM CD"," Male", 1992 
"1704","Aragorn Peredur","Aragorn's Oklahoma Blue Elf AM CD ROMs","Aragorn Lord of the Rings AM UD"," Male", 1982 
"1705","Aragorn Rocking Robin","Aragorn's Blue Ingenue","Aragorn's Original Recipe AM CD ROMs"," Female", 1985 
"1706","Aragorn Silver Belle Of Barr","Aragorn's White Lightning","Aragorn's Original Recipe AM CD ROMs"," Female", 1985 
"1707","Aragorn Sojourner's Blues AM UD CAN CDX HS AAD VAD EAC-V VCX","Aragorn's Triumphant Return","Aragorn Appraxin Blue Merlyn ROMb"," Female", 1988 
"1708","Aragorn Tess","Aragorn's Oklahoma Blue Elf AM CD ROMs","Sandon Little Big Man Aragorn AM CD ROMb"," Female", 1981 
"1709","Aragorn Tonto","Aragorn Arwen Evenstar","Aragorn's Sarum Blue Bishop AM CD ROMb"," Male", 1983 
"1710","ARAGORN Zlote Psiaki FCI","CYRANKA Virgo Vestalis","Cool Adventure z Domu Polanki (FCI)"," Male", 2016 
"1711","Aragorn's Aristocratic Lady","Aragorn's Swansea Galadriel AM CDX ROMb","Glenjoy's Ddraig Glas CD"," Female", 1977 
"1712","Aragorn's Black Jack","Aragorn Appraxin Silver Fox","Aragorn's Sarum Blue Bishop AM CD ROMb"," Male", 1983 
"1713","Aragorn's Black Magic Lynx AM CDX","Foxfyre Aragorn Brandywine","Aragorn's Original Recipe AM CD ROMs"," Female", 1984 
"1714","Aragorn's Blue Bayou","Aragorn's Black Magic Lynx AM CDX","Aragorn Appraxin Blue Merlyn ROMb"," Female", 1987 
"1715","Aragorn's Blue Collar Worker","Aragorn's Enchanted Crystal","Aragorn Gwindor Of Dreahook AM CD"," Male", 1992 
"1716","Aragorn's Blue Ingenue","Aragorn's Oklahoma Blue Elf AM CD ROMs","Aragorn Lord of the Rings AM UD"," Female", 1982 
"1717","Aragorn's Blue Jester","Aragorn Arwen Evenstar","Aragorn's Sarum Blue Bishop AM CD ROMb"," Male", 1983 
"1718","Aragorn's Blue Moonshiner","Aragorn's White Lightning","Aragorn's Original Recipe AM CD ROMs"," Female", 1985 
"1719","Aragorn's Bristol Vanna","Aragorn's Oklahoma Blue Elf AM CD ROMs","Sandon Little Big Man Aragorn AM CD ROMb"," Female", 1986 
"1720","Aragorn's Casey Of Fletcher","Aragorn Amanda","Aragorn Appraxin Blue Merlyn ROMb"," Male", 1991 
"1721","Aragorn's Cool Hand Luke","Aragorn's Blue Ingenue","Aragorn's Original Recipe AM CD ROMs"," Male", 1985 
"1722","Aragorn's Corazon","Aragorn's Triumphant Return","Aragorn Appraxin Blue Merlyn ROMb"," Female", 1986 
"1723","Aragorn's Cortshirer","Aragorn's Silver Streak","Aragorn Lord of the Rings AM UD"," Male", 1983 
"1724","Aragorn's Cozy Tally Ho","Aragorn Amanda","Aragorn Appraxin Blue Merlyn ROMb"," Male", 1991 
"1725","Aragorn's Dapper Dan","Aragorn's Triumphant Return","Aragorn Appraxin Blue Merlyn ROMb"," Male", 1986 
"1726","Aragorn's Dave Blubeck","Arylan Special Envoy to Aragorn","Heart Of Gold Power Play ROMg"," Male", 2013 
"1727","Aragorn's Dekagdalee CDX","Aragorn's Oklahoma Blue Elf AM CD ROMs","Sandon Little Big Man Aragorn AM CD ROMb"," Female", 1981 
"1728","Aragorn's Designer Genes UD RA","Twinroc After Midnight","Aragorn's Elwood Blues"," Female", 2007 
"1729","Aragorn's Duncan Of K Barr CD","Aragorn's Silver Streak","Sandon Little Big Man Aragorn AM CD ROMb"," Male", 1985 
"1730","Aragorn's Dust in the Wind","Aragorn's Enchanted Crystal","Aragorn Gwindor Of Dreahook AM CD"," Female", 1991 
"1731","Aragorn's Elwood Blues","Sisterwood Aragorn Starlet","Aragorn's Lord Alden"," Male", 1997 
"1732","Aragorn's Enchanted Crystal","Aragorn's Corazon","Aragorn's Silver Wizard AM CD"," Female", 1990 
"1733","Aragorn's Happy Wanderer","Aragorn's Out of the Blue AM CD","Foxfire Black Domino"," Female", 1980 
"1734","Aragorn's Heavenly Body","Aragorn's Silver Sequel","Aragorn's Lord Alden"," Female", 2000 
"1735","Aragorn's Hector","Aragorn's Western Investment","Aragorn's Silver Wizard AM CD"," Female", 1990 
