"","name", "dam", "sire", "sex", "year"
"615","Aethwy Innuendo","Aethwy Uthark Rune","Stafflands Rhodri at Rhiwelli"," Female", 2015 
"616","Aethwy Ireland","Aethwy Somebody To Love","Aethwy Ultramarine"," Female", 2018 
"617","Aethwy Irsen","Blondie's Our First Tri","Blondie's Quizmaster"," Female", 2007 
"618","Aethwy Irvin","Blondie's Our First Tri","Blondie's Quizmaster"," Male", 2007 
"619","Aethwy Irys","Blondie's Our First Tri","Blondie's Quizmaster"," Female", 2007 
"620","Aethwy Is This Love","Aethwy Uthark Rune","Stafflands Rhodri at Rhiwelli"," Female", 2015 
"621","Aethwy Italy","Aethwy Somebody To Love","Aethwy Ultramarine"," Female", 2018 
"622","Aethwy Iton","Blondie's Our First Tri","Blondie's Quizmaster"," Male", 2007 
"623","Aethwy Izard","Blondie's Our First Tri","Blondie's Quizmaster"," Male", 2007 
"624","Aethwy Keeper Of The Flame","Tamlin Queen Victoria","Gowerston Jazz Singer for Pemcader"," Male", 2013 
"625","Aethwy Killer Queen","Tamlin Queen Victoria","Gowerston Jazz Singer for Pemcader"," Female", 2013 
"626","Aethwy Kind Of Magic","Tamlin Queen Victoria","Gowerston Jazz Singer for Pemcader"," Male", 2013 
"627","Aethwy King Of Hearts","Tamlin Queen Victoria","Gowerston Jazz Singer for Pemcader"," Male", 2013 
"628","Aethwy Kyoto Song","Tamlin Queen Victoria","Gowerston Jazz Singer for Pemcader"," Female", 2013 
"629","Aethwy Lady Marmalade","Aethwy Aisha","Shadowalk Deacon"," Female", 2013 
"630","Aethwy Learn To Fly","Aethwy Aisha","Shadowalk Deacon"," Male", 2013 
"631","Aethwy Listen To Your Heart","Aethwy Somebody To Love","Stafflands Rhodri at Rhiwelli"," Female", 2016 
"632","Aethwy Living On My Own","Aethwy Somebody To Love","Stafflands Rhodri at Rhiwelli"," Male", 2016 
"633","Aethwy London Calling","Aethwy Aisha","Shadowalk Deacon"," Male", 2013 
"634","Aethwy Made In Heaven","Aethwy Kyoto Song","Aethwy Universal Mind"," Male", 2016 
"635","Aethwy Mamma Mia","Aethwy Kyoto Song","Aethwy Universal Mind"," Female", 2016 
"636","Aethwy Midnight Lady","Aethwy Kyoto Song","Aethwy Universal Mind"," Female", 2016 
"637","Aethwy Mishel","Aethwy Kyoto Song","Aethwy Universal Mind"," Male", 2016 
"638","Aethwy Misty Eyes","Aethwy Kyoto Song","Aethwy Universal Mind"," Male", 2016 
"639","Aethwy My Heart Will Go On","Aethwy Kyoto Song","Aethwy Universal Mind"," Male", 2016 
"640","Aethwy Name Of The Game","Aethwy Sweet Lady","Stafflands Rhodri at Rhiwelli"," Male", 2016 
"641","Aethwy Native Son","Aethwy Bluebird","Shadowalk Deacon"," Male", 2013 
"642","Aethwy Natural Blues","Aethwy Bluebird","Shadowalk Deacon"," Male", 2013 
"643","Aethwy Naughty Girl","Aethwy Bluebird","Shadowalk Deacon"," Female", 2013 
"644","Aethwy Nemo","Aethwy Sweet Lady","Stafflands Rhodri at Rhiwelli"," Male", 2016 
"645","Aethwy Never Say Goodbye","Aethwy Bluebird","Shadowalk Deacon"," Male", 2013 
"646","Aethwy Neverending Love","Aethwy Sweet Lady","Stafflands Rhodri at Rhiwelli"," Female", 2016 
"647","Aethwy New Born At Milend's","Aethwy Bluebird","Shadowalk Deacon"," Female", 2013 
"648","Aethwy New Generations","Aethwy Sweet Lady","Stafflands Rhodri at Rhiwelli"," Male", 2016 
"649","Aethwy Nice Boys","Aethwy Sweet Lady","Stafflands Rhodri at Rhiwelli"," Male", 2016 
"650","Aethwy Night Fever","Aethwy Sweet Lady","Stafflands Rhodri at Rhiwelli"," Male", 2016 
"651","Aethwy Nothing Compares To You","Aethwy Sweet Lady","Stafflands Rhodri at Rhiwelli"," Male", 2016 
"652","Aethwy Nothing Else Matters","Aethwy Bluebird","Shadowalk Deacon"," Male", 2013 
"653","Aethwy November Rain","Aethwy Bluebird","Shadowalk Deacon"," Male", 2013 
"654","Aethwy Now And Forever","Aethwy Sweet Lady","Stafflands Rhodri at Rhiwelli"," Female", 2016 
"655","Aethwy Nowhere Man","Aethwy Bluebird","Shadowalk Deacon"," Male", 2013 
"656","Aethwy Ocean Soul","Kilvroch Demeter At Aethwy","Aethwy Keeper Of The Flame"," Male", 2016 
"657","Aethwy Oh My Love","Kilvroch Demeter At Aethwy","Aethwy Keeper Of The Flame"," Female", 2016 
"658","Aethwy Okey To Smile","Kilvroch Demeter At Aethwy","Aethwy Keeper Of The Flame"," Female", 2016 
"659","Aethwy One In A Million","Kilvroch Demeter At Aethwy","Aethwy Keeper Of The Flame"," Female", 2016 
"660","Aethwy Only The Lonely","Kilvroch Demeter At Aethwy","Aethwy Keeper Of The Flame"," Female", 2016 
"661","Aethwy Oportunity Nox","Kilvroch Demeter At Aethwy","Aethwy Keeper Of The Flame"," Female", 2016 
"662","AETHWY PRINCES OF LIGHT","Aethwy Innuendo","Aethwy Ultramarine"," Female", 2017 
"663","Aethwy Rain Must Fall","Aethwy California Dreamin'","Shadowalk Deacon"," Male", 2013 
"664","Aethwy Rainbow Eyes","Aethwy California Dreamin'","Shadowalk Deacon"," Female", 2013 
"665","Aethwy Ready Teddy","Aethwy California Dreamin'","Shadowalk Deacon"," Male", 2013 
"666","Aethwy Real Sugar","Aethwy California Dreamin'","Shadowalk Deacon"," Female", 2013 
"667","Aethwy Revolution In Paradise","Aethwy California Dreamin'","Shadowalk Deacon"," Female", 2013 
"668","Aethwy Rocket Man","Aethwy California Dreamin'","Shadowalk Deacon"," Male", 2013 
"669","Aethwy Rouge et Noir","Aethwy California Dreamin'","Shadowalk Deacon"," Female", 2013 
"670","Aethwy Ruby Tuesday","Aethwy California Dreamin'","Shadowalk Deacon"," Female", 2013 
"671","Aethwy Russian Ballerina","Aethwy California Dreamin'","Shadowalk Deacon"," Female", 2013 
"672","Aethwy Sagittarius","Aethwy Irys","Brookview Silver Dollar At Gowerston"," Male", 2010 
"673","Aethwy Sapphirion","Aethwy Irys","Brookview Silver Dollar At Gowerston"," Male", 2010 
"674","Aethwy Sea Of Love","Aethwy Irsen","Shadowalk Deacon"," Female", 2013 
"675","Aethwy Smoke On The Water","Aethwy Irsen","Shadowalk Deacon"," Male", 2013 
"676","Aethwy Solveig Song","Aethwy Irsen","Shadowalk Deacon"," Female", 2013 
"677","Aethwy Somebody To Love","Aethwy Irsen","Shadowalk Deacon"," Female", 2013 
"678","Aethwy Stairway To Heaven","Aethwy Irsen","Shadowalk Deacon"," Male", 2013 
"679","Aethwy Stargazers","Aethwy Irsen","Shadowalk Deacon"," Male", 2013 
"680","Aethwy Stormbringer","Aethwy Irsen","Shadowalk Deacon"," Male", 2013 
"681","Aethwy Swanheart","Aethwy Irsen","Shadowalk Deacon"," Female", 2013 
"682","Aethwy Sweet Lady","Aethwy Irsen","Shadowalk Deacon"," Female", 2013 
"683","Aethwy Ultimate Love","Trafox Black Seduction","All Trade Gone Fishing"," Female", 2013 
"684","Aethwy Ultra Quiz","Blondie's Our First Tri","Blondie's Quizmaster"," Male", 2011 
"685","Aethwy Ultra Violet","Trafox Black Seduction","All Trade Gone Fishing"," Female", 2013 
"686","Aethwy Ultramarine","Trafox Black Seduction","All Trade Gone Fishing"," Male", 2013 
"687","Aethwy Universal Mind","Trafox Black Seduction","All Trade Gone Fishing"," Male", 2013 
"688","Aethwy Urban Cowboy","Trafox Black Seduction","All Trade Gone Fishing"," Male", 2013 
"689","Aethwy Uthark Rune","Trafox Black Seduction","All Trade Gone Fishing"," Female", 2013 
"690","Aethwy Valhalla","Blondie's Our First Tri","Tokaj-Lisiura Controversia"," Female", 2004 
"691","Aethwy Vanilla Ice","Blondie's Our First Tri","Tokaj-Lisiura Controversia"," Male", 2004 
"692","Aethwy Vogie","Blondie's Our First Tri","Tokaj-Lisiura Controversia"," Male", 2004 
"693","Aethwy Voyager","Blondie's Our First Tri","Tokaj-Lisiura Controversia"," Male", 2004 
"694","Aethwy Will Of Fortune","Aethwy Freelove","Aethwy Keeper Of The Flame"," Female", 2014 
"695","Aethwy Winds Of Change","Aethwy Freelove","Aethwy Keeper Of The Flame"," Male", 2018 
"696","Aethwy Winter Wonderland at Rhiwelli","Aethwy Freelove","Aethwy God Only Knows"," Female", 2017 
"697","Aethwy Wonderful Life","Aethwy Freelove","Aethwy Keeper Of The Flame"," Female", 2014 
"698","Afara Acer Angelina Maple","Shadowalk P.V. Evensong Afara","Shadowalk Afara Reasonable Doubt"," Female", 2002 
"699","Afara Against The Wind","Afara Julianna","Kosmar Striking Back Of Bridgelady"," Male", 2013 
"700","Afara All Or Nothing","Afara Julianna","Kosmar Striking Back Of Bridgelady"," Male", 2013 
"701","Afara Almost Had It All","Afara Julianna","Kosmar Striking Back Of Bridgelady"," Female", 2013 
"702","Afara Althea D'Agincourt CDX RA HSAs MXC MJC OAP OJP MXF MFB TQX T2B","Shadowalk P.V. Evensong Afara","Shadowalk Afara Reasonable Doubt"," Female", 2002 
"703","Afara Amarillo By Morning","Shadowalk P.V. Evensong Afara","Shadowalk Afara Reasonable Doubt"," Male", 2002 
"704","Afara Amegan Moonshadow","Shadowalk P.V. Evensong Afara","Shadowalk Afara Reasonable Doubt"," Female", 2002 
"705","Afara Arthur","Shadowalk P.V. Evensong Afara","Shadowalk Afara Reasonable Doubt"," Male", 2002 
"706","Afara Arwyn CDX PT MX MXJ","Shadowalk P.V. Evensong Afara","Shadowalk Afara Reasonable Doubt"," Male", 2002 
"707","Afara Benden's Blackjack","",""," Male", 2003 
"708","Afara Dont Ask Dont Tell","Afara Zoetrope","Rhydowen Penny Chip ROMs"," Male", 2003 
"709","Afara Dont Go There CGC CDX PT HSs","Afara Zoetrope","Rhydowen Penny Chip ROMs"," Female", 2003 
"710","Afara Dsamantha CD PT","Afara Zoetrope","Rhydowen Penny Chip ROMs"," Female", 2003 
"711","Afara Fanciful Fella","Afara Zoetrope","Paradiddle's Chain Reaction"," Male", 2004 
"712","Afara Fiona Fancypants","Afara Zoetrope","Paradiddle's Chain Reaction"," Female", 2004 
"713","Afara Forever R Indigo Kid","Afara Zoetrope","Paradiddle's Chain Reaction"," Male", 2004 
"714","Afara Frost Dragon","Afara Zoetrope","Paradiddle's Chain Reaction"," Male", 2004 
"715","Afara George","",""," ", 2004 
"716","Afara Gobi's Gusto","",""," Male", 2004 
"717","Afara Haleigh V Darksun","Afara Zaphira","Afara Dont Ask Dont Tell"," Female", 2005 
"718","Afara Halle","Afara Zaphira","Afara Dont Ask Dont Tell"," Female", 2005 
"719","Afara Hawthorne Pepper","Afara Zaphira","Afara Dont Ask Dont Tell"," Male", 2005 
"720","Afara Hosanna","Afara Zaphira","Afara Dont Ask Dont Tell"," Female", 2005 
"721","Afara Incandescent","Afara Zoetrope","Coedwig's Carbon Blue ROMg"," Female", 2005 
"722","Afara Indigo Tache AX AXJ XF","Afara Zoetrope","Coedwig's Carbon Blue ROMg"," Male", 2005 
"723","Afara It Had To Be Blue","Afara Zoetrope","Coedwig's Carbon Blue ROMg"," Male", 2005 
"724","Afara Janel","Afara Zaphira","Tafarnwr Dreadnaught"," Female", 2006 
"725","Afara Jolene","Afara Zaphira","Tafarnwr Dreadnaught"," Female", 2006 
"726","Afara Julianna","Afara Zaphira","Tafarnwr Dreadnaught"," Female", 2006 
"727","Afara Make A Wish","Afara Zoetrope","Wolfrun Afara Far and Away"," Female", 2007 
"728","Afara Make It So CD RN PT","Afara Zoetrope","Wolfrun Afara Far and Away"," Male", 2007 
"729","Afara Never Been So Blue","Afara Incandescent","Wolfrun Afara Far and Away"," Female", 2008 
"730","Afara Not A Day Goes By","Afara Incandescent","Wolfrun Afara Far and Away"," Female", 2008 
"731","Afara Now Or Never","Afara Incandescent","Wolfrun Afara Far and Away"," Male", 2008 
"732","Afara Olivia","Afara Julianna","Afara Now Or Never"," Female", 2009 
"733","Afara Once Upon A Time","Afara Julianna","Afara Now Or Never"," Female", 2009 
"734","Afara Only One Ollie","Afara Julianna","Afara Now Or Never"," Male", 2009 
"735","Afara Paper Airplane BN RN CD CGCA","Afara Jolene","Afara Now Or Never"," Male", 2009 
"736","Afara Paper Rock Scissors","Afara Jolene","Afara Now Or Never"," Male", 2009 
"737","Afara Patchwork Spice","Afara Jolene","Afara Now Or Never"," Female", 2009 
"738","Afara Pendleton","Afara Jolene","Afara Now Or Never"," Male", 2009 
"739","Afara Quintessential","Afara Zaphira","Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG"," Female", 2010 
"740","Afara Sealed With A Kiss","Afara Jolene","Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG"," Female", 2011 
"741","Afara Send In The Clowns","Afara Jolene","Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG"," Male", 2011 
"742","Afara Shadowalk Radio Flyer","Phi-Vestavia Glad Rags","Coedwig's Vestavia Luminescence CDX RAE PT OA OAJ OAP OJP ROMg"," Male", 2000 
"743","Afara Shadowalk Rubyfruitjunble","Phi-Vestavia Glad Rags","Coedwig's Vestavia Luminescence CDX RAE PT OA OAJ OAP OJP ROMg"," Female", 2000 
"744","Afara Sledge","Afara Jolene","Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG"," Male", 2011 
"745","Afara Some Kinda Wonderful","Afara Jolene","Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG"," Male", 2011 
"746","Afara Tresor de la Neige HCT","Afara Make A Wish","Xtacee Dancin In The Moonlight"," Female", 2011 
"747","Afara U Make Me Feel So Young","Deverry Afara Nemue","Coedwig's Unwavering Protector PT"," Male", 2010 
"748","Afara Ultraviolet","Deverry Afara Nemue","Coedwig's Unwavering Protector PT"," Female", 2010 
"749","Afara Xsasha Cornerstone","Afara Julianna","Pawcific Signed Sealed Delivered"," Female", 2011 
"750","Afara Xxpect A Storm","Afara Julianna","Pawcific Signed Sealed Delivered"," Male", 2011 
"751","Afara Zaphira","Shadowalk P.V. Evensong Afara","Shadowalk Kraeken Afara"," Female", 2001 
"752","Afara Zardoz","Shadowalk P.V. Evensong Afara","Shadowalk Kraeken Afara"," Male", 2001 
"753","Afara Zeitgeist","Shadowalk P.V. Evensong Afara","Shadowalk Kraeken Afara"," Male", 2001 
"754","Afara Zelda","Shadowalk P.V. Evensong Afara","Shadowalk Kraeken Afara"," Female", 2001 
"755","Afara Zen","Shadowalk P.V. Evensong Afara","Shadowalk Kraeken Afara"," Female", 2001 
"756","Afara Zena","Shadowalk P.V. Evensong Afara","Shadowalk Kraeken Afara"," Female", 2001 
"757","Afara Zenith","Shadowalk P.V. Evensong Afara","Shadowalk Kraeken Afara"," Male", 2001 
"758","Afara Zinnia","Shadowalk P.V. Evensong Afara","Shadowalk Kraeken Afara"," Female", 2001 
"759","Afara Zoetrope","Shadowalk P.V. Evensong Afara","Shadowalk Kraeken Afara"," Female", 2001 
"760","Afara Zydeco AXP AJP","Shadowalk P.V. Evensong Afara","Shadowalk Kraeken Afara"," Male", 2001 
"761","Affectionate Hug","Mal Bagushy Patricia","Apriori Vip Shimmer Of Sunset"," Male", 2018 
"762","Affrica on my Mind","Rusty Gaucho","Cool Breezer for Jazenta Gaucho"," Male", 2014 
"763","Afonmarlais Bet","Megan o'r Voel","Shemin"," Female", 1947 
"764","Afonmarlais Lou","Afonmarlais Bet","Marlais Premier"," Female", 
"765","Afonmarlais Peter","Brenhines Afonmarlais","Afonmarlais Prince"," Male", 1953 
"766","Afonmarlais Prince","Etifeddes","Shemin"," Male", 1947 
"767","Afonmarlais Spark","Afonmarlais Lou","Afonmarlais Prince"," Male", 1952 
"768","Afonwen Amore","Bircardi Miss Moneypenny","Afonwen Monteiths Black"," Female", 2012 
"769","Afonwen Bellevue Kriek","Afonwen Im Countin Onu","Bethwyn Hahn Ice"," Female", 2013 
"770","Afonwen Im Countin Onu","Welshcrest Charm N Grace","Beckrow Brenning with Pemcader"," Female", 2006 
"771","Afonwen Luvs Two Dance","Bircardi Miss Moneypenny","Afonwen Monteiths Black"," Female", 2012 
"772","Afonwen Luvs Two Win","Bircardi Miss Moneypenny","Afonwen Monteiths Black"," Male", 2012 
"773","Afonwen Monteiths Black","Afonwen Im Countin Onu","Bethwyn Hahn Ice"," Male", 2010 
"774","Afonwen Run N On Cold","Welshcrest Charm N Grace","Kelocard Hot N Spicy"," Male", 2007 
"775","Afonwen Up The Ante","Afonwen Amore","Afonwen Run N On Cold"," Female", 2014 
"776","Afra von der M�nchner Peripherie","Chika-Rozavel zur Coerm�hle","Downholme Red Dragon"," Female", 1979 
"777","Afrodita Morskaya Pena","Dafné Gyvates Asara","Brynlluan The Sorcerer"," Female", 2018 
"778","Afrodite","Verdidas Aberdeen","Deavitte Oakleaf"," Female", 1997 
"779","Afrodite","Imago's One Pretty Finn","Imago's Xmas Party"," Female", 2010 
"780","Afrodite Tailorscardi","Beautiful Dream Kasmir Moravia","Hashfan Villfred"," Female", 2017 
"781","Againisablack","Giorsal Gwenda","Druidwood Celticblackcamelot"," ", 1997 
"782","Agata Corlan Gi","Bryn Mawr Lisiura","Beckrow Beg to Differ"," Male", 2000 
"783","Agata E La Tempesta Nera","Tuttiki Iduna-Vita Rustica","Glynaeron Gwron Glas"," Female", 2014 
"784","Agatha Christie La Caverne des Anges","Fest Batida","Gowerston Blue Print"," Female", 2005 
"785","Agawop Airdrie Acer Of Halin","",""," Male", 1986 
"786","Agawop Baldon Blue Trinket","Agawop Topwyn Poppycock","Barr Mouska Blue Of Glenjoy CD"," Female", 1981 
"787","Agawop Baldons Playin Possum","Agawop Topwyn Poppycock","Barr Mouska Blue Of Glenjoy CD"," Female", 1983 
"788","Agawop Bittersweet","",""," Female", 1982 
"789","Agawop Blue Beard","",""," Male", 1980 
"790","Agawop Blue Delphinium","Tracer's Misty Dawn Of Agawop CD","Topwyn Rogue Minstrel Man"," Female", 1978 
"791","Agawop Brodinhoffer CD","Agawop Hollyhock","Aspin Skii Of Coedwig CD"," Male", 1981 
"792","Agawop Chum Aspen Blue","Tracer's Misty Dawn Of Agawop CD","Aspin Skii Of Coedwig CD"," Male", 1979 
"793","Agawop Country Columbine","Agawop Hollyhock","Agawop Karaway Coriander"," Male", 1984 
"794","Agawop Countryside Alyssum","",""," Female", 1986 
"795","Agawop Four O'clock","Agawop Hollyhock","Aspin Skii Of Coedwig CD"," Male", 1981 
"796","Agawop Harlequin Heather","",""," Female", 1981 
"797","Agawop Hollyhock","Tracer's Misty Dawn Of Agawop CD","Topwyn Rogue Minstrel Man"," Female", 1978 
"798","Agawop Incrediblue","Tracer's Misty Dawn Of Agawop CD","Aspin Skii Of Coedwig CD"," Male", 1979 
"799","Agawop Joshua Jones","",""," Male", 1980 
"800","Agawop Karaway Burnet","Agawop Morning Glory","Aspin Skii Of Coedwig CD"," Male", 1982 
"801","Agawop Karaway Coriander","Agawop Morning Glory","Aspin Skii Of Coedwig CD"," Male", 1982 
"802","Agawop Karaway Kavic","Tracer's Misty Dawn Of Agawop CD","Aspin Skii Of Coedwig CD"," Male", 1979 
"803","Agawop Karaway Tansy","Agawop Morning Glory","Aspin Skii Of Coedwig CD"," Female", 1982 
"804","Agawop Morning Glory","Tracer's Misty Dawn Of Agawop CD","Topwyn Rogue Minstrel Man"," Female", 1978 
"805","Agawop Notorious","",""," Female", 1980 
"806","Agawop Schemer Scamper","Agawop Hollyhock","Aspin Skii Of Coedwig CD"," Male", 1981 
"807","Agawop Topwyn Cherry","Winsdown Topwyn Blue Amulet","Topwyn Rogue Minstrel Man"," Female", 1980 
"808","Agawop Topwyn Coreopsis","Winsdown Topwyn Blue Amulet","Winsdown Blue Bracken"," Male", 1978 
"809","Agawop Topwyn Dusty Miller","Winsdown Topwyn Blue Amulet","Winsdown Blue Bracken"," Male", 1978 
"810","Agawop Topwyn Poppycock","Winsdown Topwyn Blue Amulet","Topwyn Rogue Minstrel Man"," Female", 1980 
"811","Agawop's Aspen Blue Vortigern","Tracer's Misty Dawn Of Agawop CD","Aspin Skii Of Coedwig CD"," Male", 1979 
"812","Agawop's Sadie Of Hawkins CDX TDX","Tracer's Misty Dawn Of Agawop CD","Aspin Skii Of Coedwig CD"," Female", 1979 
"813","Agicard's Afrodite","Mandylay's Noelle","Region's Evening Joyker"," Female", 2000 
"814","Agicard's Akhilleus","Mandylay's Noelle","Region's Evening Joyker"," Male", 2000 
"815","Agicard's Antonius","Mandylay's Noelle","Region's Evening Joyker"," Male", 2000 
"816","Agicard's Apollon","Mandylay's Noelle","Region's Evening Joyker"," Male", 2000 
"817","Agicard's Artemis","Mandylay's Noelle","Region's Evening Joyker"," Female", 2000 
"818","Agicard's Athene","Mandylay's Noelle","Region's Evening Joyker"," Female", 2000 
"819","Agicard's Bomber Bee","Agicard's Afrodite","Big-Wood's Kiwi DJ"," Male", 2005 
"820","Agicard's Bumblebee","Agicard's Afrodite","Big-Wood's Kiwi DJ"," Female", 2005 
"821","Agicard's Bunny Bee","Agicard's Afrodite","Big-Wood's Kiwi DJ"," Female", 2005 
"822","Agicard's Buster Bug","Agicard's Afrodite","Big-Wood's Kiwi DJ"," Male", 2005 
"823","Agicard's Buster Bunny","Agicard's Afrodite","Big-Wood's Kiwi DJ"," Male", 2005 
"824","Agicard's Busy Honeybee","Agicard's Afrodite","Big-Wood's Kiwi DJ"," Female", 2005 
"825","Agicard's Columba Livia","Agicard's Bumblebee","Moonwalker"," Female", 2009 
"826","Agicard's Columba Palumbus","Agicard's Bumblebee","Moonwalker"," Female", 2009 
"827","Agicard's Corvus Corax","Agicard's Bumblebee","Moonwalker"," Male", 2009 
"828","Agicard's Corvus Corone","Agicard's Bumblebee","Moonwalker"," Male", 2009 
"829","Agicard's Don't Dream It Be It","Agicard's Bumblebee","Gowerston Diesel"," Male", 2012 
"830","Agicard's Dream About You","Agicard's Bumblebee","Gowerston Diesel"," Female", 2012 
"831","Agicard's Fool Joke","Agicard's Dream About You","Hova Bonde's Gil Grissom"," Male", 2018 
"832","AGICOR RUMCAJS ROZB�JNIK","Mandylay's Whoopi Goldberg","Bertram Corlan Gi"," Male", 2013 
"833","Aglaia vom Ghei","Floatin' Bronant Bronmai","Kincroft Kaitangata"," Female", 2008 
"834","Agnello Pasquale","",""," ", 
"835","Agnello Pasquale","Uszaki Lets Dance","Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG"," Male", 2018 
"836","Ahoj Lisiura z Irexu","Brawos Bis Dzierlatka Lisiura","Geestland's Solo Song"," Female", 2009 
"837","Ahti","Imago's One Pretty Finn","Imago's Xmas Party"," Male", 2010 
"838","Aias","Hashfan Parvoline Plaz","Greg's Boy of Robgwen"," Male", 1986 
"839","Aida de Tichelaar Corgi's","Alana from the Stone of Scone","Courtly's Brindle Lord Vaka Bangsi"," Female", 2010 
"840","Aiden of the Isles","Rusty Gaucho","Cool Breezer for Jazenta Gaucho"," Male", 2014 
"841","Ailinn Shining Sirius","Fest Delicja","Damian Corlan Gi"," Female", 2010 
"842","Ailla Beautiful Joy of Life","Charista Corlan Gi","Joy Transfer Hogarth Blue Horizon"," Female", 2015 
"843","Aimee Blue Morning Glory CD HT","Kalamity Aimee Blue Gardenia UD","Coedwig's Black Ice"," Female", 2000 
"844","Aimee Legend Of Sleepy Hollow","Kalamity Aimee Blue Camillia","Agawop Brodinhoffer CD"," Male", 1989 
"845","Aimee Plum Pudding","Kalamity Aimee Blue Camillia","Agawop Brodinhoffer CD"," Female", 1989 
"846","Aimee Swamp Fox","Aimee Plum Pudding","Springshire's Jumping Jack"," Female", 1992 
"847","Aimee's War Lord of Dorre Don","Dorre Don Serchus Of Winsdown UD ROMs","Pera Brigwyn Blue UD TD ROMs"," Male", 1972 
"848","Aimy Kasmir Moravia","Rotshcard Auronelain","Highlander Cymraeg Ci"," Female", 2011 
"849","Ain'T Such A Saint-Nick","",""," Male", 2005 
"850","Aine Shining Sirius","Fest Delicja","Damian Corlan Gi"," Female", 2010 
"851","Aini Damia of Valley of Respite","Cymreiges Cirila Du Shining Sirius","Brastias Shining Sirius"," Female", 2017 
"852","Air Bubble Welsh Magic","Darmania z Irexu","Analog CC Back In Black"," Female", 2016 
"853","Airborn Antares Von Plątonogi","LOVE SHAKE Z Jurajskiego Zamku","Sen Srebrny  Salomei Lisiura"," Male", 2018 
"854","Airborn Casper Von Plątonogi","LOVE SHAKE Z Jurajskiego Zamku","Sen Srebrny  Salomei Lisiura"," Male", 2018 
"855","AIRBORN CASPER Von Platonogi","",""," ", 
"856","Airborn Challenger Von Plątonogi","LOVE SHAKE Z Jurajskiego Zamku","Sen Srebrny  Salomei Lisiura"," Female", 2018 
"857","Airborn Columbia Von Plątonogi","LOVE SHAKE Z Jurajskiego Zamku","Sen Srebrny  Salomei Lisiura"," Female", 2018 
"858","Airborn Falcon Von Plątonogi","LOVE SHAKE Z Jurajskiego Zamku","Sen Srebrny  Salomei Lisiura"," Male", 2018 
"859","Airborn Odyssey Von Plątonogi","LOVE SHAKE Z Jurajskiego Zamku","Sen Srebrny  Salomei Lisiura"," Male", 2018 
"860","Airborn Orion Von Plątonogi","LOVE SHAKE Z Jurajskiego Zamku","Sen Srebrny  Salomei Lisiura"," Female", 2018 
"861","Airborn Snoopy Von Plątonogi","LOVE SHAKE Z Jurajskiego Zamku","Sen Srebrny  Salomei Lisiura"," Male", 2018 
"862","AIRBORN Von Plątonogi","LOVE SHAKE Z Jurajskiego Zamku","Sen Srebrny  Salomei Lisiura"," Female", 2018 
"863","Airdrie Accounts Payable","Kennebec Red Oak Ruffian","Kentwood Owain"," Male", 2001 
"864","Airdrie Agawop Intrepid","Agawop Hollyhock","Agawop Incrediblue"," Male", 1982 
"865","Airdrie Agawop Tonka Tuff","Agawop Hollyhock","Agawop Incrediblue"," Male", 1982 
"866","Airdrie Agwop Northwood Kodi","Countryside Crimson Tide","Airdrie's Rockland Arrow CD"," Male", 1984 
"867","Airdrie Almost An Angel","Airdrie Country Althea Rosea","Kennebec Ice Anchor ROMg"," Male", 1991 
"868","Airdrie Andromeda","Kennebec Red Oak Ruffian","Kentwood Owain"," Female", 2001 
"869","Airdrie Angel Eyes","Airdrie Country Althea Rosea","Kennebec Ice Anchor ROMg"," Female", 1991 
"870","Airdrie Angel Wings","Airdrie Country Althea Rosea","Kennebec Ice Anchor ROMg"," Female", 1991 
"871","Airdrie Black Ice","Airdrie Evening Shade","Airdrie Almost An Angel"," Male", 1997 
"872","Airdrie Blonde Ambition","Airdrie Pretty in Pink","Phi-Vestavia Stork Drop"," Female", 2003 
"873","Airdrie Blue Dhevil","Karaway Dill Of Airdrie","Topwyn's Nothin Better ROMb"," Male", 1984 
"874","Airdrie Blue Sunset","Sunset's Winston Airdrie","Airdrie Blue Dhevil"," Male", 1992 
"875","Airdrie Blueberry Sunset","Sunset's Winston Airdrie","Airdrie Blue Dhevil"," Female", 1992 
"876","Airdrie Country Althea Rosea","Agawop Hollyhock","Airdrie Agwop Northwood Kodi"," Female", 1985 
"877","Airdrie Country Holiday","Agawop Hollyhock","Agawop Karaway Coriander"," Female", 1984 
"878","Airdrie Dare To Be Different CD CGC","Airdrie Country Althea Rosea","Pluperfect Prussian"," Male", 1989 
"879","Airdrie Evening Shade","Airdrie Angel Wings","Kentwood Owain"," Female", 1994 
"880","Airdrie Fantasia","Airdrie Country Holiday","Airdrie Agwop Northwood Kodi"," Female", 1987 
"881","Airdrie Firestarter","Airdrie Country Holiday","Airdrie Agwop Northwood Kodi"," Female", 1986 
"882","Airdrie Fudge It A Bit CD CGC","Airdrie Country Althea Rosea","Pluperfect Prussian"," Female", 1989 
