U.S. agricultural exports: calendar years 2000-2017 by Schedule B 10 digit codes 1/,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
,,,,,,,,,Million $,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4101501020,"BV H/S, NT CTTLE",0.0,0.0,"3,599.0","3,977.0","8,230.0","18,539.0","56,813.0","162,960.0","267,100.0","285,136.0","186,470.0","229,076.0","249,365.0","318,505.0","265,209.0","179,590.0","267,291.0","252,326.0",
4101501030,BV H/S WH NESOI,0.0,0.0,"3,092.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4101501095,"EQN H/S, WT>16KG",0.0,0.0,"2,166.0","1,827.0",521.0,513.0,"2,054.0","6,639.0",496.0,498.0,672.0,80.0,152.0,320.0,301.0,136.0,"3,307.0",445.0,
4101502000,BV H/S >28 UP/LN,0.0,0.0,"2,958.0","1,846.0","2,388.0","1,132.0",354.0,464.0,"1,255.0",488.0,271.0,374.0,135.0,"6,353.0","15,274.0","7,110.0","3,910.0",271.0,
4101503000,BV RAW H/S UP/LN,0.0,0.0,554.0,688.0,281.0,"1,158.0",494.0,"1,731.0",899.0,419.0,137.0,264.0,3.0,154.0,301.0,67.0,"1,801.0","2,087.0",
4101503500,BFFLO H/S>28SQFT,0.0,0.0,12.0,127.0,65.0,470.0,199.0,87.0,322.0,254.0,277.0,341.0,177.0,342.0,122.0,120.0,286.0,44.0,
4101504000,BV H/S VG PT<16,0.0,0.0,"2,604.0",641.0,70.0,"1,189.0",84.0,25.0,5.0,198.0,48.0,20.0,49.0,240.0,53.0,417.0,172.0,0.0,
4101505000,BV WH H/S WT>16,0.0,0.0,"1,122.0","1,637.0",508.0,246.0,109.0,361.0,"1,246.0","1,484.0",193.0,53.0,0.0,0.0,"2,287.0","4,084.0","4,876.0","3,031.0",
4101507000,EQ RAW H/S WH<16,0.0,0.0,"1,524.0","1,947.0",872.0,864.0,373.0,581.0,121.0,6.0,122.0,223.0,14.0,13.0,"7,888.0","17,354.0","4,544.0",270.0,
4101901010,BV BUT/BD FRESH,0.0,0.0,"3,898.0","4,030.0","3,358.0","1,947.0",918.0,"2,948.0","7,482.0","25,438.0","46,002.0","58,405.0","57,151.0","75,805.0","28,292.0","6,743.0","7,603.0","5,503.0",
4101901020,BV H/S NT BUT/BD,0.0,0.0,"45,940.0","55,900.0","29,734.0","27,075.0","22,923.0","22,895.0","5,296.0","1,632.0","11,583.0","17,265.0","18,642.0","9,762.0","3,522.0","2,327.0","5,778.0","12,941.0",
4101901030,BV BUT/BD NTFRSH,0.0,0.0,"2,507.0","2,142.0","1,406.0",155.0,184.0,243.0,387.0,199.0,396.0,0.0,138.0,4.0,155.0,937.0,250.0,704.0,
4101901040,EQN BUTT/BND/BEL,0.0,0.0,0.0,0.0,50.0,25.0,8.0,27.0,27.0,5.0,21.0,0.0,57.0,17.0,0.0,34.0,347.0,213.0,
4101903500,BFFLO H/S B/B/B,0.0,0.0,188.0,156.0,261.0,113.0,22.0,85.0,777.0,9.0,0.0,36.0,27.0,6.0,29.0,26.0,25.0,0.0,
4101904000,"BV H/S VG PT,NES",0.0,0.0,225.0,18.0,17.0,32.0,194.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4101904500,BV H/S NESOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,216.0,902.0,42.0,32.0,19.0,
4101905000,BV H/S NESOI,0.0,0.0,"4,277.0",393.0,352.0,56.0,0.0,0.0,0.0,62.0,5.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,
4101907000,EQ RAW BT/BN/BEL,0.0,0.0,"1,220.0",873.0,452.0,234.0,179.0,389.0,150.0,134.0,175.0,177.0,"1,102.0",241.0,985.0,346.0,223.0,"1,090.0",
4102100000,"SH,LM SK,WL-ON F","17,360.0","19,149.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4102101000,S/L SKIN W/WOOL,0.0,0.0,"11,564.0","3,562.0","1,489.0","4,862.0","2,870.0","6,027.0","18,928.0","17,040.0","21,106.0","34,603.0","24,224.0","22,430.0","17,410.0","13,568.0","13,502.0","14,061.0",
4102102000,SH/LM  SKIN W/WL,0.0,0.0,0.0,6.0,78.0,118.0,33.0,0.0,0.0,0.0,0.0,14.0,345.0,0.0,15.0,4.0,0.0,5.0,
4102103000,SH/LM W/WOL PTAN,0.0,0.0,266.0,95.0,110.0,681.0,758.0,"2,084.0","2,496.0","2,587.0","2,335.0",490.0,195.0,442.0,283.0,231.0,505.0,146.0,
4102210000,SP/LM SK WO WL P,"1,511.0",888.0,"10,509.0","14,553.0","18,233.0","14,267.0","14,130.0","11,853.0",162.0,133.0,260.0,228.0,757.0,511.0,623.0,749.0,75.0,157.0,
4102290000,SP/LM SK WO WL O,"1,382.0","4,056.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4102291000,"S/L NO WOL, NES",0.0,0.0,475.0,206.0,255.0,231.0,370.0,188.0,326.0,211.0,69.0,385.0,148.0,199.0,90.0,62.0,21.0,200.0,
4102292000,SH/LM SKIN W/O W,0.0,0.0,329.0,47.0,5.0,55.0,29.0,12.0,41.0,7.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,
4102293000,SH/LM NO WL PTAN,0.0,0.0,780.0,673.0,114.0,94.0,192.0,130.0,59.0,987.0,103.0,275.0,133.0,139.0,97.0,63.0,19.0,8.0,
4103100000,"GT,KD SK,F,ST,DR",894.0,"1,373.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4103101000,"GOAT SKIN, NESOI",0.0,0.0,"10,703.0","1,405.0","1,003.0","1,423.0",724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4103102000,GT SKN VG PRETAN,0.0,0.0,0.0,8.0,23.0,7.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4103103000,GOAT SKN PRETAN,0.0,0.0,365.0,370.0,42.0,165.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4103200000,REPTILE SKINS FR,"15,585.0","28,780.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4103201000,"REP SKIN,PRESRVD",0.0,0.0,"23,281.0","27,685.0","32,248.0","40,297.0","66,352.0","68,470.0","68,634.0","53,346.0","48,005.0","47,427.0","57,218.0","96,921.0","112,625.0","105,512.0","124,087.0","109,106.0",
4103202000,REPT SKN NOT TAN,0.0,0.0,820.0,591.0,251.0,397.0,419.0,124.0,184.0,28.0,359.0,357.0,823.0,"2,014.0","1,561.0","6,260.0","3,381.0",821.0,
