U.S. exports of total animal products 1/,,,,,,,,,,,,,,,,,,,,U.S. agricultural exports of total animal products 1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,"Top ten states, 2017",,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank,Top 10,Billion $,,,,,,,,,
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,313.3,331.0,277.8,321.3,288.9,343.0,399.4,511.6,657.3,580.4,635.0,776.5,804.3,783.9,881.5,734.4,724.6,798.0,,Washington,177.6,185.7,171.0,160.8,134.3,160.4,172.5,265.4,302.3,234.9,322.8,397.5,432.0,507.0,514.9,433.8,395.2,441.9,,25,,,,,,,,,,,
Montana,140.5,145.2,130.4,141.8,80.1,93.2,112.6,120.3,152.7,148.3,188.7,228.5,234.2,268.1,303.8,234.8,233.0,261.7,,Virginia,209.9,230.7,206.3,245.6,185.7,216.3,229.2,281.4,337.9,278.3,344.2,403.3,401.4,422.5,437.6,344.1,337.8,369.8,,26,,,,,,,,,,,
Nebraska,708.5,757.3,738.9,833.8,455.5,554.6,707.6,868.0,"1,015.5",872.0,"1,124.7","1,435.6","1,524.9","1,654.5","1,865.4","1,645.6","1,672.5","1,799.9",,Florida,203.1,206.7,183.5,172.7,156.9,161.2,184.3,172.3,203.0,158.2,207.9,245.9,383.7,382.7,401.9,344.2,289.1,328.8,,27,,,,,,,,,,,
Nevada,28.4,32.4,25.9,29.6,19.4,23.1,27.0,33.7,35.5,31.7,46.7,58.8,66.3,71.9,89.8,72.5,63.7,72.1,,New Mexico,149.6,144.1,116.9,135.3,105.2,122.9,150.0,210.2,263.1,191.6,287.5,380.9,387.8,395.0,406.1,307.5,289.9,316.1,,28,,,,,,,,,,,
New Hampshire,5.5,6.7,6.4,6.7,6.7,7.6,8.5,11.7,14.1,11.6,15.9,18.5,21.3,22.3,24.8,20.2,18.6,20.4,,Montana,140.5,145.2,130.4,141.8,80.1,93.2,112.6,120.3,152.7,148.3,188.7,228.5,234.2,268.1,303.8,234.8,233.0,261.7,,29,,,,,,,,,,,
New Jersey,54.6,55.2,50.4,47.5,41.6,44.9,42.9,54.6,21.9,20.6,28.1,34.9,31.0,37.0,35.2,33.0,30.1,38.6,,Arizona,101.3,112.0,105.9,116.9,77.7,91.5,109.9,147.8,171.7,128.8,186.6,249.5,264.0,293.7,313.5,239.4,219.2,258.3,,30,,,,,,,,,,,
New Mexico,149.6,144.1,116.9,135.3,105.2,122.9,150.0,210.2,263.1,191.6,287.5,380.9,387.8,395.0,406.1,307.5,289.9,316.1,,Utah,89.4,99.0,96.9,103.6,85.3,104.7,109.9,125.9,169.7,146.3,196.5,248.6,253.1,275.0,307.6,226.5,207.8,241.2,,31,,,,,,,,,,,
New York,156.2,165.9,151.4,124.9,141.8,163.2,176.1,262.9,340.4,232.9,359.5,466.5,498.5,602.2,641.8,501.6,453.6,516.7,,Oregon,94.3,90.4,87.1,94.6,77.3,87.4,105.8,115.3,154.6,130.4,164.4,217.6,229.1,246.8,266.2,225.4,206.8,231.6,,32,,,,,,,,,,,
North Carolina,523.1,603.8,536.9,552.0,672.0,809.2,819.4,982.8,"1,355.6","1,188.5","1,285.3","1,519.8","1,643.2","1,654.7","1,615.9","1,299.2","1,357.2","1,461.2",,Louisiana,95.5,114.8,101.3,103.5,96.4,115.1,113.9,148.9,242.1,199.7,258.7,307.4,281.5,239.1,248.0,211.7,192.6,217.6,,33,,,,,,,,,,,
North Dakota,88.9,104.3,110.0,114.1,66.1,78.6,88.2,109.2,131.9,113.4,159.7,185.6,180.6,205.5,241.8,178.7,171.4,201.7,,Tennessee,123.3,147.4,121.4,135.0,110.3,127.1,133.6,182.2,187.2,160.3,191.7,222.7,235.6,236.0,246.9,192.9,186.4,204.1,,34,,,,,,,,,,,
