Soybeans exports 1/,,,,,,,,,,,,,,,,,,,,Soybeans exports 1/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank,
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,346.6,398.7,376.0,600.3,421.4,467.9,542.7,707.6,"1,131.0","1,379.0","1,248.9","1,601.8","1,789.2","1,480.4","1,712.1","1,367.8","1,718.1","1,532.5",,Georgia,8.8,7.5,7.3,16.9,18.2,10.1,8.2,29.8,55.4,72.9,61.8,25.4,45.5,61.7,70.2,63.5,58.5,34.7,,27,
Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Texas,16.9,14.0,12.9,15.6,17.9,17.0,13.7,12.2,21.0,24.0,28.7,16.1,19.1,17.4,24.2,18.2,20.6,28.2,,28,
New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,New Jersey,6.2,6.2,4.9,7.4,8.8,5.8,6.3,9.1,12.8,15.6,15.8,14.3,25.7,22.8,24.4,18.2,18.5,19.8,,29,
New Jersey,6.2,6.2,4.9,7.4,8.8,5.8,6.3,9.1,12.8,15.6,15.8,14.3,25.7,22.8,24.4,18.2,18.5,19.8,,West Virginia,0.9,1.4,1.3,2.4,1.9,1.6,1.6,2.1,3.0,3.8,3.8,3.6,6.8,6.9,7.6,6.1,6.6,6.5,,30,
New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Florida,0.8,0.5,0.6,1.0,1.3,0.7,0.4,0.8,2.2,4.3,4.0,2.5,4.6,6.6,8.3,5.9,5.4,3.3,,31,
New York,8.8,9.5,9.6,16.9,16.6,15.7,22.3,35.8,50.2,53.1,67.5,66.3,96.6,91.1,87.5,64.1,71.9,59.9,,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32,
North Carolina,73.9,84.0,66.4,136.1,106.6,91.0,104.5,128.2,238.3,220.2,311.5,248.8,384.2,391.9,380.3,337.6,273.9,321.0,,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,33,
North Dakota,105.6,118.6,153.7,284.0,172.6,176.1,249.5,378.1,557.3,573.5,670.0,695.9,"1,146.6",933.6,"1,165.8",771.9,"1,272.9","1,133.8",,California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,34,
Ohio,359.3,354.6,372.0,502.2,407.9,429.1,480.5,696.3,"1,040.8","1,023.3","1,244.0","1,092.6","1,760.6","1,606.4","1,498.1","1,212.5","1,389.7","1,295.2",,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,35,
Oklahoma,10.6,9.1,12.5,19.3,20.4,17.4,12.4,12.7,32.3,52.0,69.4,39.2,28.4,48.7,65.0,52.6,70.0,80.0,,Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,36,
